@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
410,'2017/06/26 16:27:26:092',3,77,6,94,?,?,?
411,'2017/06/26 16:27:26:140',3,78,6,93,?,?,?
412,'2017/06/26 16:27:26:188',3,79,7,92,?,?,?
413,'2017/06/26 16:27:26:238',3,79,6,91,?,?,?
414,'2017/06/26 16:27:26:287',3,79,6,92,?,?,?
415,'2017/06/26 16:27:26:336',3,79,7,91,?,?,?
416,'2017/06/26 16:27:26:385',3,79,7,93,?,?,?
417,'2017/06/26 16:27:26:433',3,77,6,95,?,?,?
418,'2017/06/26 16:27:26:482',3,77,7,95,?,?,?
419,'2017/06/26 16:27:26:530',3,78,6,93,?,?,?
420,'2017/06/26 16:27:26:579',3,77,7,94,?,?,?
421,'2017/06/26 16:27:26:629',3,78,6,94,?,?,?
422,'2017/06/26 16:27:26:678',3,78,6,94,?,?,?
423,'2017/06/26 16:27:26:727',3,78,6,94,?,?,?
424,'2017/06/26 16:27:26:779',3,78,6,93,?,?,?
425,'2017/06/26 16:27:26:828',3,78,6,93,?,?,?
426,'2017/06/26 16:27:26:878',3,79,6,92,?,?,?
427,'2017/06/26 16:27:27:628',4,78,6,94,?,?,?
428,'2017/06/26 16:27:27:677',4,78,6,93,?,?,?
429,'2017/06/26 16:27:27:725',4,78,6,94,?,?,?
430,'2017/06/26 16:27:27:775',4,78,6,93,?,?,?
431,'2017/06/26 16:27:27:823',4,78,6,93,?,?,?
432,'2017/06/26 16:27:27:872',4,78,6,94,?,?,?
433,'2017/06/26 16:27:27:921',4,77,6,96,?,?,?
434,'2017/06/26 16:27:27:969',4,78,6,95,?,?,?
435,'2017/06/26 16:27:28:019',4,77,6,95,?,?,?
436,'2017/06/26 16:27:28:068',4,78,6,94,?,?,?
437,'2017/06/26 16:27:28:117',4,77,6,95,?,?,?
438,'2017/06/26 16:27:28:166',4,78,6,95,?,?,?
439,'2017/06/26 16:27:28:214',4,77,6,96,?,?,?
440,'2017/06/26 16:27:28:264',4,77,6,96,?,?,?
441,'2017/06/26 16:27:28:314',4,77,6,95,?,?,?
442,'2017/06/26 16:27:28:363',4,77,6,95,?,?,?
443,'2017/06/26 16:27:28:412',4,77,6,95,?,?,?
444,'2017/06/26 16:27:28:461',4,77,6,96,?,?,?
445,'2017/06/26 16:27:28:510',4,78,6,94,?,?,?
446,'2017/06/26 16:27:28:559',4,77,6,95,?,?,?
447,'2017/06/26 16:27:28:608',4,77,6,95,?,?,?
448,'2017/06/26 16:27:28:656',4,77,6,95,?,?,?
449,'2017/06/26 16:27:28:705',4,77,6,95,?,?,?
450,'2017/06/26 16:27:28:754',4,78,6,95,?,?,?
451,'2017/06/26 16:27:28:803',4,78,7,94,?,?,?
452,'2017/06/26 16:27:28:852',4,77,7,94,?,?,?
453,'2017/06/26 16:27:28:902',4,78,7,94,?,?,?
454,'2017/06/26 16:27:28:950',4,78,7,94,?,?,?
455,'2017/06/26 16:27:28:999',4,77,6,95,?,?,?
456,'2017/06/26 16:27:29:049',4,77,7,94,?,?,?
457,'2017/06/26 16:27:29:098',4,77,7,95,?,?,?
458,'2017/06/26 16:27:39:011',5,85,146,84,?,?,?
459,'2017/06/26 16:27:39:060',5,84,146,85,?,?,?
460,'2017/06/26 16:27:39:108',5,86,146,83,?,?,?
461,'2017/06/26 16:27:39:156',5,86,147,82,?,?,?
462,'2017/06/26 16:27:39:204',5,87,148,82,?,?,?
463,'2017/06/26 16:27:39:254',5,85,146,84,?,?,?
464,'2017/06/26 16:27:39:302',5,85,146,84,?,?,?
465,'2017/06/26 16:27:39:350',5,85,146,84,?,?,?
466,'2017/06/26 16:27:39:398',5,85,146,84,?,?,?
467,'2017/06/26 16:27:39:445',5,85,146,84,?,?,?
468,'2017/06/26 16:27:39:496',5,85,146,84,?,?,?
469,'2017/06/26 16:27:39:550',5,85,146,84,?,?,?
470,'2017/06/26 16:27:39:598',5,84,145,86,?,?,?
471,'2017/06/26 16:27:39:646',5,85,148,83,?,?,?
472,'2017/06/26 16:27:39:694',5,84,146,84,?,?,?
473,'2017/06/26 16:27:39:743',5,85,148,82,?,?,?
474,'2017/06/26 16:27:39:791',5,85,148,84,?,?,?
475,'2017/06/26 16:27:39:839',5,85,148,81,?,?,?
476,'2017/06/26 16:27:39:888',5,86,148,81,?,?,?
477,'2017/06/26 16:27:39:936',5,85,148,82,?,?,?
478,'2017/06/26 16:27:39:985',5,86,149,82,?,?,?
479,'2017/06/26 16:27:40:037',5,87,149,81,?,?,?
480,'2017/06/26 16:27:40:088',5,87,150,78,?,?,?
481,'2017/06/26 16:27:40:137',5,86,149,80,?,?,?
482,'2017/06/26 16:27:40:185',5,86,149,80,?,?,?
483,'2017/06/26 16:27:40:241',5,86,149,82,?,?,?
484,'2017/06/26 16:27:40:289',5,85,149,80,?,?,?
485,'2017/06/26 16:27:40:339',5,85,149,80,?,?,?
486,'2017/06/26 16:27:40:387',5,86,150,80,?,?,?
487,'2017/06/26 16:27:40:435',5,85,149,80,?,?,?
488,'2017/06/26 16:27:40:484',5,86,149,80,?,?,?
489,'2017/06/26 16:27:40:532',5,85,149,81,?,?,?
490,'2017/06/26 16:27:40:581',5,87,150,78,?,?,?
491,'2017/06/26 16:27:40:629',5,87,151,77,?,?,?
492,'2017/06/26 16:27:40:677',5,86,150,79,?,?,?
493,'2017/06/26 16:27:40:725',5,85,149,81,?,?,?
494,'2017/06/26 16:27:40:774',5,85,149,80,?,?,?
495,'2017/06/26 16:27:40:822',5,86,150,78,?,?,?
496,'2017/06/26 16:27:40:871',5,86,150,78,?,?,?
497,'2017/06/26 16:27:40:919',5,85,149,80,?,?,?
498,'2017/06/26 16:27:40:967',5,86,149,80,?,?,?
499,'2017/06/26 16:27:41:015',5,85,149,80,?,?,?
500,'2017/06/26 16:27:41:064',5,85,149,80,?,?,?
501,'2017/06/26 16:27:41:112',5,85,149,80,?,?,?
502,'2017/06/26 16:27:41:160',5,86,149,79,?,?,?
503,'2017/06/26 16:27:41:208',5,86,150,79,?,?,?
504,'2017/06/26 16:27:41:256',5,84,149,81,?,?,?
505,'2017/06/26 16:27:41:305',5,83,148,83,?,?,?
506,'2017/06/26 16:27:41:353',5,85,149,81,?,?,?
507,'2017/06/26 16:27:41:401',5,85,149,81,?,?,?
508,'2017/06/26 16:27:41:449',5,85,149,81,?,?,?
509,'2017/06/26 16:27:41:497',5,85,149,79,?,?,?
510,'2017/06/26 16:27:41:544',5,84,148,81,?,?,?
511,'2017/06/26 16:27:41:592',5,84,148,81,?,?,?
512,'2017/06/26 16:27:41:640',5,84,148,81,?,?,?
513,'2017/06/26 16:27:41:687',5,85,149,79,?,?,?
514,'2017/06/26 16:27:41:735',5,85,149,80,?,?,?
515,'2017/06/26 16:27:41:783',5,84,148,80,?,?,?
516,'2017/06/26 16:27:41:831',5,85,149,80,?,?,?
517,'2017/06/26 16:27:41:880',5,85,149,80,?,?,?
518,'2017/06/26 16:27:41:927',5,85,149,80,?,?,?
519,'2017/06/26 16:27:41:975',5,85,149,80,?,?,?
520,'2017/06/26 16:27:42:024',5,86,152,75,?,?,?
521,'2017/06/26 16:27:42:072',5,85,151,78,?,?,?
522,'2017/06/26 16:27:42:121',5,85,151,78,?,?,?
523,'2017/06/26 16:27:42:168',5,85,151,78,?,?,?
524,'2017/06/26 16:27:42:216',5,82,149,82,?,?,?
525,'2017/06/26 16:27:42:264',5,83,151,80,?,?,?
526,'2017/06/26 16:27:42:312',5,82,150,81,?,?,?
527,'2017/06/26 16:27:42:360',5,83,149,81,?,?,?
528,'2017/06/26 16:27:42:407',5,83,150,81,?,?,?
529,'2017/06/26 16:27:42:455',5,84,151,79,?,?,?
530,'2017/06/26 16:27:42:504',5,84,151,79,?,?,?
531,'2017/06/26 16:27:42:552',5,84,151,79,?,?,?
532,'2017/06/26 16:27:42:600',5,84,151,79,?,?,?
533,'2017/06/26 16:27:42:647',5,83,151,79,?,?,?
534,'2017/06/26 16:27:42:695',5,83,150,80,?,?,?
535,'2017/06/26 16:27:42:742',5,83,151,79,?,?,?
536,'2017/06/26 16:27:42:790',5,83,151,79,?,?,?
537,'2017/06/26 16:27:42:838',5,83,151,79,?,?,?
538,'2017/06/26 16:27:42:886',5,83,151,79,?,?,?
539,'2017/06/26 16:27:42:933',5,83,151,79,?,?,?
540,'2017/06/26 16:27:42:981',5,83,151,79,?,?,?
541,'2017/06/26 16:27:43:030',5,83,151,79,?,?,?
542,'2017/06/26 16:27:43:077',5,84,150,79,?,?,?
543,'2017/06/26 16:27:43:125',5,84,150,78,?,?,?
544,'2017/06/26 16:27:43:173',5,84,150,78,?,?,?
545,'2017/06/26 16:27:43:229',5,84,150,78,?,?,?
546,'2017/06/26 16:27:43:278',5,84,150,78,?,?,?
547,'2017/06/26 16:27:43:326',5,84,151,76,?,?,?
548,'2017/06/26 16:27:43:375',5,84,151,76,?,?,?
549,'2017/06/26 16:27:43:424',5,84,150,79,?,?,?
550,'2017/06/26 16:27:43:473',5,84,150,78,?,?,?
551,'2017/06/26 16:27:43:523',5,85,151,76,?,?,?
552,'2017/06/26 16:27:43:571',5,84,151,76,?,?,?
553,'2017/06/26 16:27:43:619',5,84,151,76,?,?,?
554,'2017/06/26 16:27:43:666',5,84,151,76,?,?,?
555,'2017/06/26 16:27:43:714',5,84,150,78,?,?,?
556,'2017/06/26 16:27:43:762',5,85,150,78,?,?,?
557,'2017/06/26 16:27:43:810',5,85,150,78,?,?,?
558,'2017/06/26 16:27:43:858',5,85,151,78,?,?,?
559,'2017/06/26 16:27:43:906',5,86,151,76,?,?,?
560,'2017/06/26 16:27:43:954',5,84,149,80,?,?,?
561,'2017/06/26 16:27:44:001',5,84,149,80,?,?,?
562,'2017/06/26 16:27:44:049',5,85,151,78,?,?,?
563,'2017/06/26 16:27:44:097',5,85,151,78,?,?,?
564,'2017/06/26 16:27:44:144',5,86,152,77,?,?,?
565,'2017/06/26 16:27:44:192',5,85,150,79,?,?,?
566,'2017/06/26 16:27:44:242',5,85,150,79,?,?,?
567,'2017/06/26 16:27:44:289',5,84,149,80,?,?,?
568,'2017/06/26 16:27:44:337',5,84,149,80,?,?,?
569,'2017/06/26 16:27:44:385',5,84,149,80,?,?,?
570,'2017/06/26 16:27:44:432',5,84,149,80,?,?,?
571,'2017/06/26 16:27:44:480',5,84,149,80,?,?,?
572,'2017/06/26 16:27:44:527',5,82,148,83,?,?,?
573,'2017/06/26 16:27:44:575',5,82,148,83,?,?,?
574,'2017/06/26 16:27:44:622',5,82,148,83,?,?,?
575,'2017/06/26 16:27:44:670',5,84,149,81,?,?,?
576,'2017/06/26 16:27:44:718',5,83,149,81,?,?,?
577,'2017/06/26 16:27:44:766',5,84,150,79,?,?,?
578,'2017/06/26 16:27:44:815',5,85,151,77,?,?,?
579,'2017/06/26 16:27:44:863',5,86,151,77,?,?,?
580,'2017/06/26 16:27:44:910',5,86,151,77,?,?,?
581,'2017/06/26 16:27:44:959',5,85,150,78,?,?,?
582,'2017/06/26 16:27:45:008',5,86,150,78,?,?,?
583,'2017/06/26 16:27:45:058',5,86,151,77,?,?,?
584,'2017/06/26 16:27:45:108',5,86,151,77,?,?,?
585,'2017/06/26 16:27:45:156',5,85,151,77,?,?,?
586,'2017/06/26 16:27:45:204',5,85,151,77,?,?,?
587,'2017/06/26 16:27:45:252',5,86,151,77,?,?,?
588,'2017/06/26 16:27:45:300',5,85,149,80,?,?,?
589,'2017/06/26 16:27:45:348',5,86,151,77,?,?,?
590,'2017/06/26 16:27:45:396',5,85,150,79,?,?,?
591,'2017/06/26 16:27:45:444',5,83,149,81,?,?,?
592,'2017/06/26 16:27:45:495',5,83,149,81,?,?,?
593,'2017/06/26 16:27:45:544',5,85,150,78,?,?,?
594,'2017/06/26 16:27:45:593',5,85,150,79,?,?,?
595,'2017/06/26 16:28:13:969',6,146,63,61,?,?,?
596,'2017/06/26 16:28:14:020',6,146,63,62,?,?,?
597,'2017/06/26 16:28:14:067',6,145,62,62,?,?,?
598,'2017/06/26 16:28:14:115',6,145,62,63,?,?,?
599,'2017/06/26 16:28:14:162',6,145,62,63,?,?,?
600,'2017/06/26 16:28:14:210',6,145,61,63,?,?,?
601,'2017/06/26 16:28:14:257',6,144,61,64,?,?,?
602,'2017/06/26 16:28:14:305',6,145,62,62,?,?,?
603,'2017/06/26 16:28:14:352',6,144,61,63,?,?,?
604,'2017/06/26 16:28:14:399',6,145,62,62,?,?,?
605,'2017/06/26 16:28:14:447',6,144,62,61,?,?,?
606,'2017/06/26 16:28:14:495',6,144,62,62,?,?,?
607,'2017/06/26 16:28:14:542',6,144,62,62,?,?,?
608,'2017/06/26 16:28:14:589',6,144,62,62,?,?,?
609,'2017/06/26 16:28:14:636',6,144,62,62,?,?,?
610,'2017/06/26 16:28:14:683',6,145,62,61,?,?,?
611,'2017/06/26 16:28:14:731',6,144,62,62,?,?,?
612,'2017/06/26 16:28:14:778',6,143,62,63,?,?,?
613,'2017/06/26 16:28:14:826',6,143,62,62,?,?,?
614,'2017/06/26 16:28:14:873',6,143,62,62,?,?,?
615,'2017/06/26 16:28:14:920',6,144,63,61,?,?,?
616,'2017/06/26 16:28:14:974',6,144,61,62,?,?,?
617,'2017/06/26 16:28:15:022',6,144,61,62,?,?,?
618,'2017/06/26 16:28:15:069',6,143,61,62,?,?,?
619,'2017/06/26 16:28:15:116',6,143,61,63,?,?,?
620,'2017/06/26 16:28:15:164',6,143,61,62,?,?,?
621,'2017/06/26 16:28:15:211',6,143,61,62,?,?,?
622,'2017/06/26 16:28:15:258',6,143,61,63,?,?,?
623,'2017/06/26 16:28:15:305',6,143,61,63,?,?,?
624,'2017/06/26 16:28:15:352',6,143,61,63,?,?,?
625,'2017/06/26 16:28:15:399',6,143,61,63,?,?,?
626,'2017/06/26 16:28:15:447',6,143,61,63,?,?,?
627,'2017/06/26 16:28:15:495',6,143,61,63,?,?,?
628,'2017/06/26 16:28:15:542',6,142,60,63,?,?,?
629,'2017/06/26 16:28:15:589',6,143,61,63,?,?,?
630,'2017/06/26 16:28:15:636',6,143,61,63,?,?,?
631,'2017/06/26 16:28:15:683',6,143,61,62,?,?,?
632,'2017/06/26 16:28:15:731',6,143,61,63,?,?,?
633,'2017/06/26 16:28:15:777',6,142,61,63,?,?,?
634,'2017/06/26 16:28:15:825',6,143,61,62,?,?,?
635,'2017/06/26 16:28:15:871',6,144,61,61,?,?,?
636,'2017/06/26 16:28:15:920',6,144,61,61,?,?,?
637,'2017/06/26 16:28:15:967',6,144,60,62,?,?,?
638,'2017/06/26 16:28:16:015',6,143,60,62,?,?,?
639,'2017/06/26 16:28:16:062',6,143,61,62,?,?,?
640,'2017/06/26 16:28:16:109',6,143,61,61,?,?,?
641,'2017/06/26 16:28:16:157',6,144,62,59,?,?,?
642,'2017/06/26 16:28:16:204',6,144,62,60,?,?,?
643,'2017/06/26 16:28:16:251',6,144,62,60,?,?,?
644,'2017/06/26 16:28:16:298',6,145,61,59,?,?,?
645,'2017/06/26 16:28:16:346',6,145,61,59,?,?,?
646,'2017/06/26 16:28:16:392',6,145,60,60,?,?,?
647,'2017/06/26 16:28:16:439',6,145,60,60,?,?,?
648,'2017/06/26 16:28:16:487',6,144,60,60,?,?,?
649,'2017/06/26 16:28:16:534',6,144,60,60,?,?,?
650,'2017/06/26 16:28:16:581',6,143,60,61,?,?,?
651,'2017/06/26 16:28:16:628',6,143,59,61,?,?,?
652,'2017/06/26 16:28:16:675',6,143,59,61,?,?,?
653,'2017/06/26 16:28:16:721',6,143,59,61,?,?,?
654,'2017/06/26 16:28:16:768',6,143,59,61,?,?,?
655,'2017/06/26 16:28:16:815',6,143,59,61,?,?,?
656,'2017/06/26 16:28:16:861',6,143,59,61,?,?,?
657,'2017/06/26 16:28:16:908',6,143,59,61,?,?,?
658,'2017/06/26 16:28:16:956',6,143,59,61,?,?,?
659,'2017/06/26 16:28:17:003',6,143,59,61,?,?,?
660,'2017/06/26 16:28:17:051',6,143,59,61,?,?,?
661,'2017/06/26 16:28:17:098',6,143,59,62,?,?,?
662,'2017/06/26 16:28:17:145',6,143,59,62,?,?,?
663,'2017/06/26 16:28:17:193',6,143,59,62,?,?,?
664,'2017/06/26 16:28:17:242',6,143,59,62,?,?,?
665,'2017/06/26 16:28:17:289',6,143,60,61,?,?,?
666,'2017/06/26 16:28:17:337',6,144,60,61,?,?,?
667,'2017/06/26 16:28:17:384',6,143,59,61,?,?,?
668,'2017/06/26 16:28:17:432',6,143,60,61,?,?,?
669,'2017/06/26 16:28:17:480',6,143,60,62,?,?,?
670,'2017/06/26 16:28:17:527',6,143,59,61,?,?,?
671,'2017/06/26 16:28:17:575',6,143,59,62,?,?,?
672,'2017/06/26 16:28:17:621',6,143,59,62,?,?,?
673,'2017/06/26 16:28:17:668',6,143,59,62,?,?,?
674,'2017/06/26 16:28:17:716',6,143,59,61,?,?,?
675,'2017/06/26 16:28:17:763',6,143,59,61,?,?,?
676,'2017/06/26 16:28:17:809',6,144,59,61,?,?,?
677,'2017/06/26 16:28:17:857',6,143,59,61,?,?,?
678,'2017/06/26 16:28:17:904',6,143,59,62,?,?,?
679,'2017/06/26 16:28:17:952',6,143,59,61,?,?,?
680,'2017/06/26 16:28:18:000',6,144,60,60,?,?,?
681,'2017/06/26 16:28:18:048',6,144,60,60,?,?,?
682,'2017/06/26 16:28:18:096',6,144,60,61,?,?,?
683,'2017/06/26 16:28:18:143',6,143,60,61,?,?,?
684,'2017/06/26 16:28:18:190',6,144,60,60,?,?,?
685,'2017/06/26 16:28:18:238',6,144,60,60,?,?,?
686,'2017/06/26 16:28:18:285',6,143,60,60,?,?,?
687,'2017/06/26 16:28:18:334',6,143,60,60,?,?,?
688,'2017/06/26 16:28:18:382',6,143,60,60,?,?,?
689,'2017/06/26 16:28:18:429',6,143,60,61,?,?,?
690,'2017/06/26 16:28:18:477',6,143,60,60,?,?,?
691,'2017/06/26 16:28:18:525',6,142,60,61,?,?,?
692,'2017/06/26 16:28:18:572',6,142,60,61,?,?,?
693,'2017/06/26 16:28:18:620',6,143,60,61,?,?,?
694,'2017/06/26 16:28:18:668',6,142,59,61,?,?,?
695,'2017/06/26 16:28:18:716',6,142,59,62,?,?,?
696,'2017/06/26 16:28:18:764',6,142,59,62,?,?,?
697,'2017/06/26 16:28:18:811',6,142,59,62,?,?,?
698,'2017/06/26 16:28:18:859',6,142,59,62,?,?,?
699,'2017/06/26 16:28:18:906',6,142,59,62,?,?,?
700,'2017/06/26 16:28:18:955',6,142,59,62,?,?,?
701,'2017/06/26 16:28:19:002',6,142,59,62,?,?,?
702,'2017/06/26 16:28:19:049',6,142,59,62,?,?,?
703,'2017/06/26 16:28:19:096',6,142,59,62,?,?,?
704,'2017/06/26 16:28:19:143',6,142,59,62,?,?,?
705,'2017/06/26 16:28:19:190',6,142,59,62,?,?,?
706,'2017/06/26 16:28:19:237',6,141,59,63,?,?,?
707,'2017/06/26 16:28:19:284',6,141,59,63,?,?,?
708,'2017/06/26 16:28:19:332',6,142,59,63,?,?,?
709,'2017/06/26 16:28:19:380',6,142,59,63,?,?,?
710,'2017/06/26 16:28:19:427',6,142,59,62,?,?,?
711,'2017/06/26 16:28:19:474',6,142,59,63,?,?,?
712,'2017/06/26 16:28:19:522',6,142,59,62,?,?,?
713,'2017/06/26 16:28:19:569',6,142,59,63,?,?,?
714,'2017/06/26 16:28:19:617',6,142,59,63,?,?,?
715,'2017/06/26 16:28:19:664',6,141,59,63,?,?,?
716,'2017/06/26 16:28:19:712',6,141,59,63,?,?,?
717,'2017/06/26 16:28:19:759',6,141,59,63,?,?,?
718,'2017/06/26 16:28:19:806',6,141,59,64,?,?,?
719,'2017/06/26 16:28:19:853',6,141,59,63,?,?,?
720,'2017/06/26 16:28:19:901',6,141,59,63,?,?,?
721,'2017/06/26 16:28:19:949',6,142,60,62,?,?,?
722,'2017/06/26 16:28:19:996',6,142,60,63,?,?,?
723,'2017/06/26 16:28:20:045',6,142,59,63,?,?,?
724,'2017/06/26 16:28:20:094',6,142,59,63,?,?,?
725,'2017/06/26 16:28:20:142',6,142,60,61,?,?,?
726,'2017/06/26 16:28:20:188',6,142,60,62,?,?,?
727,'2017/06/26 16:28:20:245',6,141,59,63,?,?,?
728,'2017/06/26 16:28:20:294',6,142,60,62,?,?,?
729,'2017/06/26 16:28:20:342',6,142,60,62,?,?,?
730,'2017/06/26 16:28:20:389',6,142,59,62,?,?,?
731,'2017/06/26 16:28:20:436',6,142,60,62,?,?,?
732,'2017/06/26 16:28:20:486',6,142,59,62,?,?,?
733,'2017/06/26 16:28:20:533',6,142,59,62,?,?,?
734,'2017/06/26 16:28:20:580',6,142,59,63,?,?,?
735,'2017/06/26 16:28:20:627',6,141,59,64,?,?,?
736,'2017/06/26 16:28:20:674',6,141,59,63,?,?,?
737,'2017/06/26 16:28:20:721',6,141,59,63,?,?,?
738,'2017/06/26 16:28:20:773',6,142,59,63,?,?,?
739,'2017/06/26 16:28:20:820',6,142,60,62,?,?,?
740,'2017/06/26 16:28:20:868',6,142,60,61,?,?,?
741,'2017/06/26 16:28:20:915',6,142,60,62,?,?,?
742,'2017/06/26 16:28:20:964',6,142,61,61,?,?,?
743,'2017/06/26 16:28:21:011',6,142,61,60,?,?,?
744,'2017/06/26 16:28:21:059',6,142,61,60,?,?,?
745,'2017/06/26 16:28:21:106',6,142,61,60,?,?,?
746,'2017/06/26 16:28:21:153',6,142,61,60,?,?,?
747,'2017/06/26 16:28:21:206',6,143,61,59,?,?,?
748,'2017/06/26 16:28:21:261',6,142,60,62,?,?,?
749,'2017/06/26 16:28:21:308',6,142,61,60,?,?,?
750,'2017/06/26 16:28:21:355',6,141,60,62,?,?,?
751,'2017/06/26 16:28:21:402',6,141,60,63,?,?,?
752,'2017/06/26 16:28:21:450',6,142,60,62,?,?,?
753,'2017/06/26 16:28:21:497',6,142,60,62,?,?,?
754,'2017/06/26 16:28:21:545',6,141,60,63,?,?,?
755,'2017/06/26 16:28:21:592',6,141,59,63,?,?,?
756,'2017/06/26 16:28:21:639',6,141,59,63,?,?,?
757,'2017/06/26 16:28:21:686',6,140,59,64,?,?,?
758,'2017/06/26 16:28:21:734',6,141,59,63,?,?,?
759,'2017/06/26 16:28:21:782',6,141,59,63,?,?,?
760,'2017/06/26 16:28:21:829',6,141,59,63,?,?,?
761,'2017/06/26 16:28:21:876',6,141,59,63,?,?,?
762,'2017/06/26 16:28:21:922',6,140,59,64,?,?,?
763,'2017/06/26 16:28:21:970',6,141,59,63,?,?,?
764,'2017/06/26 16:28:22:017',6,140,59,64,?,?,?
765,'2017/06/26 16:28:22:065',6,141,59,63,?,?,?
766,'2017/06/26 16:28:22:114',6,141,59,63,?,?,?
767,'2017/06/26 16:28:22:161',6,141,59,63,?,?,?
768,'2017/06/26 16:28:22:209',6,141,59,63,?,?,?
769,'2017/06/26 16:28:22:256',6,141,59,63,?,?,?
770,'2017/06/26 16:28:22:324',6,141,59,63,?,?,?
771,'2017/06/26 16:28:22:378',6,141,60,63,?,?,?
772,'2017/06/26 16:28:29:610',7,105,18,161,?,?,?
773,'2017/06/26 16:28:29:662',7,104,18,162,?,?,?
774,'2017/06/26 16:28:29:713',7,104,18,162,?,?,?
775,'2017/06/26 16:28:29:763',7,102,17,166,?,?,?
776,'2017/06/26 16:28:29:813',7,103,17,164,?,?,?
777,'2017/06/26 16:28:29:863',7,102,17,165,?,?,?
778,'2017/06/26 16:28:29:913',7,103,17,165,?,?,?
779,'2017/06/26 16:28:29:963',7,103,17,165,?,?,?
780,'2017/06/26 16:28:30:013',7,103,17,164,?,?,?
781,'2017/06/26 16:28:30:063',7,105,19,161,?,?,?
782,'2017/06/26 16:28:30:114',7,105,19,160,?,?,?
783,'2017/06/26 16:28:30:165',7,103,18,163,?,?,?
784,'2017/06/26 16:28:30:216',7,103,17,164,?,?,?
785,'2017/06/26 16:28:30:266',7,102,16,166,?,?,?
786,'2017/06/26 16:28:30:316',7,100,15,171,?,?,?
787,'2017/06/26 16:28:30:366',7,103,18,164,?,?,?
788,'2017/06/26 16:28:30:431',7,103,16,166,?,?,?
789,'2017/06/26 16:28:30:481',7,104,17,164,?,?,?
790,'2017/06/26 16:28:30:533',7,103,15,165,?,?,?
791,'2017/06/26 16:28:30:584',7,103,15,165,?,?,?
792,'2017/06/26 16:28:30:634',7,104,16,163,?,?,?
793,'2017/06/26 16:28:30:685',7,102,15,168,?,?,?
794,'2017/06/26 16:28:30:736',7,102,15,168,?,?,?
795,'2017/06/26 16:28:30:786',7,100,16,171,?,?,?
796,'2017/06/26 16:28:30:838',7,101,16,170,?,?,?
797,'2017/06/26 16:28:30:888',7,101,16,169,?,?,?
798,'2017/06/26 16:28:30:938',7,100,16,170,?,?,?
799,'2017/06/26 16:28:30:990',7,98,16,169,?,?,?
800,'2017/06/26 16:28:31:040',7,98,16,170,?,?,?
801,'2017/06/26 16:28:31:091',7,98,16,170,?,?,?
802,'2017/06/26 16:28:31:141',7,97,16,172,?,?,?
803,'2017/06/26 16:28:31:192',7,97,17,170,?,?,?
804,'2017/06/26 16:28:31:243',7,97,16,171,?,?,?
805,'2017/06/26 16:28:31:294',7,97,16,171,?,?,?
806,'2017/06/26 16:28:31:345',7,98,17,169,?,?,?
807,'2017/06/26 16:28:31:395',7,98,17,169,?,?,?
808,'2017/06/26 16:28:31:445',7,97,17,170,?,?,?
809,'2017/06/26 16:28:31:496',7,97,16,171,?,?,?
810,'2017/06/26 16:28:31:546',7,96,17,170,?,?,?
811,'2017/06/26 16:28:31:597',7,96,16,172,?,?,?
812,'2017/06/26 16:28:31:647',7,97,16,170,?,?,?
813,'2017/06/26 16:28:31:698',7,97,17,170,?,?,?
814,'2017/06/26 16:28:31:748',7,97,17,171,?,?,?
815,'2017/06/26 16:28:31:799',7,98,17,169,?,?,?
816,'2017/06/26 16:28:31:850',7,98,17,169,?,?,?
817,'2017/06/26 16:28:31:900',7,99,17,168,?,?,?
818,'2017/06/26 16:28:31:949',7,99,17,168,?,?,?
819,'2017/06/26 16:28:32:003',7,99,16,169,?,?,?
820,'2017/06/26 16:28:32:054',7,100,18,166,?,?,?
821,'2017/06/26 16:28:32:104',7,99,17,169,?,?,?
822,'2017/06/26 16:28:32:161',7,98,17,170,?,?,?
823,'2017/06/26 16:28:32:211',7,98,17,169,?,?,?
824,'2017/06/26 16:28:32:262',7,98,16,169,?,?,?
825,'2017/06/26 16:28:32:314',7,98,16,168,?,?,?
826,'2017/06/26 16:28:32:364',7,98,16,168,?,?,?
827,'2017/06/26 16:28:32:414',7,99,17,166,?,?,?
828,'2017/06/26 16:28:32:465',7,99,18,167,?,?,?
829,'2017/06/26 16:28:32:515',7,100,18,167,?,?,?
830,'2017/06/26 16:28:32:565',7,101,18,168,?,?,?
831,'2017/06/26 16:28:32:615',7,101,18,170,?,?,?
832,'2017/06/26 16:28:32:665',7,99,16,172,?,?,?
833,'2017/06/26 16:28:32:715',7,99,17,171,?,?,?
834,'2017/06/26 16:28:32:766',7,97,17,169,?,?,?
835,'2017/06/26 16:28:32:816',7,99,19,168,?,?,?
836,'2017/06/26 16:28:32:866',7,97,17,169,?,?,?
837,'2017/06/26 16:28:32:916',7,99,17,167,?,?,?
838,'2017/06/26 16:28:32:965',7,96,17,170,?,?,?
839,'2017/06/26 16:28:33:015',7,98,18,168,?,?,?
840,'2017/06/26 16:28:33:065',7,99,16,171,?,?,?
841,'2017/06/26 16:28:33:115',7,101,18,170,?,?,?
