@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
96,'2017/06/26 16:26:50:294',1,236,76,74,?,?,?
97,'2017/06/26 16:26:50:341',1,235,76,75,?,?,?
98,'2017/06/26 16:26:50:389',1,236,77,73,?,?,?
99,'2017/06/26 16:26:50:437',1,236,76,74,?,?,?
100,'2017/06/26 16:26:50:485',1,236,77,73,?,?,?
101,'2017/06/26 16:26:50:533',1,236,76,74,?,?,?
102,'2017/06/26 16:26:50:581',1,235,76,74,?,?,?
103,'2017/06/26 16:26:50:629',1,236,76,74,?,?,?
104,'2017/06/26 16:26:50:677',1,236,76,74,?,?,?
105,'2017/06/26 16:26:50:725',1,236,76,74,?,?,?
106,'2017/06/26 16:26:50:777',1,236,76,74,?,?,?
107,'2017/06/26 16:26:50:826',1,236,76,73,?,?,?
108,'2017/06/26 16:26:50:874',1,236,75,74,?,?,?
109,'2017/06/26 16:26:50:922',1,236,75,74,?,?,?
110,'2017/06/26 16:26:50:970',1,236,74,75,?,?,?
111,'2017/06/26 16:26:51:018',1,236,75,74,?,?,?
112,'2017/06/26 16:26:51:067',1,235,74,76,?,?,?
113,'2017/06/26 16:26:51:116',1,238,76,71,?,?,?
114,'2017/06/26 16:26:51:166',1,237,75,73,?,?,?
115,'2017/06/26 16:26:51:216',1,239,77,70,?,?,?
116,'2017/06/26 16:26:51:264',1,237,75,73,?,?,?
117,'2017/06/26 16:26:51:312',1,237,75,73,?,?,?
118,'2017/06/26 16:26:51:360',1,237,75,73,?,?,?
119,'2017/06/26 16:26:51:407',1,238,76,72,?,?,?
120,'2017/06/26 16:26:51:455',1,238,77,71,?,?,?
121,'2017/06/26 16:26:51:503',1,237,75,74,?,?,?
122,'2017/06/26 16:26:51:555',1,237,76,72,?,?,?
123,'2017/06/26 16:26:51:604',1,236,75,74,?,?,?
124,'2017/06/26 16:26:51:652',1,238,76,72,?,?,?
125,'2017/06/26 16:26:59:486',2,1,78,63,?,?,?
126,'2017/06/26 16:26:59:539',2,1,78,63,?,?,?
127,'2017/06/26 16:26:59:593',2,0,0,0,?,?,?
128,'2017/06/26 16:26:59:642',2,0,0,0,?,?,?
129,'2017/06/26 16:26:59:690',2,0,0,0,?,?,?
130,'2017/06/26 16:26:59:737',2,0,0,0,?,?,?
131,'2017/06/26 16:26:59:785',2,0,0,0,?,?,?
132,'2017/06/26 16:26:59:833',2,0,0,0,?,?,?
133,'2017/06/26 16:26:59:883',2,0,0,0,?,?,?
134,'2017/06/26 16:26:59:932',2,0,0,0,?,?,?
135,'2017/06/26 16:26:59:980',2,2,78,64,?,?,?
136,'2017/06/26 16:27:00:029',2,3,76,67,?,?,?
137,'2017/06/26 16:27:00:077',2,2,76,64,?,?,?
138,'2017/06/26 16:27:00:127',2,2,74,66,?,?,?
139,'2017/06/26 16:27:00:174',2,3,75,66,?,?,?
140,'2017/06/26 16:27:00:223',2,3,74,66,?,?,?
141,'2017/06/26 16:27:00:272',2,5,76,65,?,?,?
142,'2017/06/26 16:27:00:321',2,4,74,67,?,?,?
143,'2017/06/26 16:27:00:369',2,5,74,65,?,?,?
144,'2017/06/26 16:27:00:418',2,5,74,66,?,?,?
145,'2017/06/26 16:27:00:466',2,6,75,64,?,?,?
146,'2017/06/26 16:27:00:515',2,5,74,65,?,?,?
147,'2017/06/26 16:27:00:563',2,6,74,66,?,?,?
148,'2017/06/26 16:27:00:611',2,6,76,64,?,?,?
149,'2017/06/26 16:27:00:660',2,6,75,65,?,?,?
150,'2017/06/26 16:27:00:708',2,6,75,66,?,?,?
151,'2017/06/26 16:27:00:757',2,5,73,70,?,?,?
152,'2017/06/26 16:27:00:805',2,5,73,69,?,?,?
153,'2017/06/26 16:27:00:853',2,5,73,69,?,?,?
154,'2017/06/26 16:27:00:902',2,6,74,66,?,?,?
155,'2017/06/26 16:27:00:950',2,5,74,67,?,?,?
156,'2017/06/26 16:27:00:998',2,6,75,66,?,?,?
157,'2017/06/26 16:27:01:046',2,6,74,68,?,?,?
158,'2017/06/26 16:27:01:094',2,6,76,65,?,?,?
159,'2017/06/26 16:27:01:143',2,5,75,66,?,?,?
160,'2017/06/26 16:27:01:191',2,6,75,66,?,?,?
161,'2017/06/26 16:27:01:239',2,5,74,68,?,?,?
162,'2017/06/26 16:27:01:287',2,6,76,65,?,?,?
